# KIT-IMK-IFU Flux Measurement Fundamentals course material (TERENO GAP site subset).
#
# Columns:
# MODELTIME 	: UTC time at the start of a measurement period of 30-min.
# NEE  		: Net Ecosystem Exchange, in umol m-2 s-1
# soiltemp_Avg 	: Soil temperature at ...m in degrees Celcius
# PAR_Avg 		: Q_PPFD in umol m-2 s-1
#
# Contact: Matthias Zeeman <matthias.zeeman@kit.edu>
# Version: 20140805
#
"MODELTIME","Flag.ustar","Flag.wCO2","NEE","soiltemp_Avg","PAR_Avg"
2013-01-03 16:30:00,1,2,-9999,0.4,0.3
2013-01-03 17:00:00,1,1,-2.54,0.4,0
2013-01-03 17:30:00,1,2,-9999,0.4,0.1
2013-01-03 18:00:00,1,2,-9999,0.4,0.2
2013-01-03 18:30:00,0,1,-9999,0.4,1
2013-01-03 19:00:00,0,1,-9999,0.4,1
2013-01-03 19:30:00,1,1,2.49,0.4,0.6
2013-01-03 20:00:00,1,2,-9999,0.4,1.4
2013-01-03 20:30:00,1,2,-9999,0.4,0.3
2013-01-03 21:00:00,1,2,-9999,0.4,1.1
2013-01-03 21:30:00,1,1,2.9,0.4,0.8
2013-01-03 22:00:00,1,2,-9999,0.4,1.3
2013-01-03 22:30:00,1,2,-9999,0.4,2
2013-01-03 23:00:00,1,2,-9999,0.4,1
2013-01-03 23:30:00,1,2,-9999,0.4,0.5
2013-01-04 00:00:00,1,2,-9999,0.4,1.5
2013-01-04 00:30:00,1,2,-9999,0.4,0.4
2013-01-04 01:00:00,0,2,-9999,0.4,0.6
2013-01-04 01:30:00,1,2,-9999,0.4,1.7
2013-01-04 02:00:00,1,2,-9999,0.4,0.3
2013-01-04 02:30:00,1,2,-9999,0.4,1
2013-01-04 03:00:00,1,2,-9999,0.4,0.5
2013-01-04 03:30:00,1,2,-9999,0.4,0.7
2013-01-04 04:00:00,1,2,-9999,0.4,1.2
2013-01-04 04:30:00,1,2,-9999,0.4,0.5
2013-01-04 05:00:00,1,2,-9999,0.4,0.3
2013-01-04 05:30:00,1,2,-9999,0.4,0.4
2013-01-04 06:00:00,1,2,-9999,0.4,0.6
2013-01-04 06:30:00,1,2,-9999,0.4,8.9
2013-01-04 07:00:00,1,2,-9999,0.4,26.8
2013-01-04 07:30:00,1,2,-9999,0.4,33.5
2013-01-04 08:00:00,1,2,-9999,0.4,41
2013-01-04 08:30:00,1,2,-9999,0.4,46.6
2013-01-04 09:00:00,1,2,-9999,0.4,94.4
2013-01-04 09:30:00,1,2,-9999,0.4,111.9
2013-01-04 10:00:00,1,2,-9999,0.4,134.3
2013-01-04 10:30:00,1,2,-9999,0.4,191.8
2013-01-04 11:00:00,1,2,-9999,0.4,170.7
2013-01-04 11:30:00,1,2,-9999,0.4,173.3
2013-01-04 12:00:00,1,2,-9999,0.4,164.5
2013-01-04 12:30:00,1,2,-9999,0.4,118.4
2013-01-04 13:00:00,1,2,-9999,0.4,93.8
2013-01-04 13:30:00,1,2,-9999,0.4,88.1
2013-01-04 14:00:00,1,2,-9999,0.4,55.1
2013-01-04 14:30:00,1,1,-9999,0.4,32
2013-01-04 15:00:00,1,2,-9999,0.4,9.2
2013-01-04 15:30:00,1,2,-9999,0.4,1.6
2013-01-04 16:00:00,1,2,-9999,0.4,0.2
2013-01-04 16:30:00,1,2,-9999,0.4,0.8
2013-01-04 17:00:00,1,2,-9999,0.4,0.3
2013-01-04 17:30:00,1,2,-9999,0.4,1.1
2013-01-04 18:00:00,2,2,-9999,0.4,0.2
2013-01-04 18:30:00,2,2,-9999,0.4,0.5
2013-01-04 19:00:00,2,2,-9999,0.4,0.4
2013-01-04 19:30:00,2,2,-9999,0.4,0.9
2013-01-04 20:00:00,2,2,-9999,0.4,0.6
2013-01-04 20:30:00,2,2,-9999,0.4,0.4
2013-01-04 21:00:00,2,2,-9999,0.4,0.7
2013-01-04 21:30:00,2,2,-9999,0.4,0.5
2013-01-04 22:00:00,2,2,-9999,0.4,0.6
2013-01-04 22:30:00,2,2,-9999,0.4,1.5
2013-01-04 23:00:00,2,2,-9999,0.4,1
2013-01-04 23:30:00,2,2,-9999,0.4,1.2
2013-01-05 00:00:00,2,2,-9999,0.4,0.6
2013-01-05 00:30:00,2,2,-9999,0.4,0.5
2013-01-05 01:00:00,1,2,-9999,0.4,0.1
2013-01-05 01:30:00,2,2,-9999,0.4,0.7
2013-01-05 02:00:00,2,2,-9999,0.4,0.5
2013-01-05 02:30:00,2,2,-9999,0.4,1.1
2013-01-05 03:00:00,2,2,-9999,0.4,1.3
2013-01-05 03:30:00,2,2,-9999,0.4,1.7
2013-01-05 04:00:00,2,2,-9999,0.4,0.7
2013-01-05 04:30:00,2,2,-9999,0.4,0.4
2013-01-05 05:00:00,2,2,-9999,0.4,0.3
2013-01-05 05:30:00,2,2,-9999,0.4,0.1
2013-01-05 06:00:00,2,2,-9999,0.4,0.3
2013-01-05 06:30:00,2,2,-9999,0.4,1.6
2013-01-05 07:00:00,2,2,-9999,0.4,7.8
2013-01-05 07:30:00,2,2,-9999,0.4,12.9
2013-01-05 08:00:00,2,2,-9999,0.4,22.7
2013-01-05 08:30:00,2,2,-9999,0.4,23.9
2013-01-05 09:00:00,2,2,-9999,0.4,51.6
2013-01-05 09:30:00,2,2,-9999,0.4,80.6
2013-01-05 10:00:00,2,2,-9999,0.3,88.1
2013-01-05 10:30:00,2,2,-9999,0.3,106.4
2013-01-05 11:00:00,2,2,-9999,0.3,90.6
2013-01-05 11:30:00,2,2,-9999,0.3,57.8
2013-01-05 12:00:00,2,2,-9999,0.3,37.6
2013-01-05 12:30:00,2,2,-9999,0.3,34.8
2013-01-05 13:00:00,2,2,-9999,0.3,27.5
2013-01-05 13:30:00,2,2,-9999,0.3,21.7
2013-01-05 14:00:00,2,2,-9999,0.3,25.1
2013-01-05 14:30:00,1,2,-9999,0.3,7.4
2013-01-05 15:00:00,1,2,-9999,0.2,1
2013-01-05 15:30:00,0,2,-9999,0.3,0.3
2013-01-05 16:00:00,1,2,-9999,0.3,0
2013-01-05 16:30:00,1,2,-9999,0.3,0
2013-01-05 17:00:00,1,2,-9999,0.3,0.1
2013-01-05 17:30:00,1,2,-9999,0.3,0.3
2013-01-05 18:00:00,1,2,-9999,0.3,0.2
2013-01-05 18:30:00,1,2,-9999,0.3,0.4
2013-01-05 19:00:00,1,2,-9999,0.3,0
2013-01-05 19:30:00,1,2,-9999,0.3,0.1
2013-01-05 20:00:00,1,2,-9999,0.3,0.6
2013-01-05 20:30:00,1,2,-9999,0.3,0.3
2013-01-05 21:00:00,0,2,-9999,0.3,0.3
2013-01-05 21:30:00,1,2,-9999,0.3,0.3
2013-01-05 22:00:00,1,2,-9999,0.3,0.5
2013-01-05 22:30:00,1,2,-9999,0.3,0.5
2013-01-05 23:00:00,1,2,-9999,0.3,0.2
2013-01-05 23:30:00,1,2,-9999,0.3,0.7
2013-01-06 00:00:00,1,2,-9999,0.3,0.2
2013-01-06 00:30:00,2,2,-9999,0.3,0.4
2013-01-06 01:00:00,1,2,-9999,0.3,0.4
2013-01-06 01:30:00,1,2,-9999,0.3,0.2
2013-01-06 02:00:00,1,2,-9999,0.3,0.5
2013-01-06 02:30:00,1,2,-9999,0.3,0.6
2013-01-06 03:00:00,1,2,-9999,0.3,0.3
2013-01-06 03:30:00,1,2,-9999,0.3,0.3
2013-01-06 04:00:00,1,2,-9999,0.3,0.2
2013-01-06 04:30:00,1,2,-9999,0.3,0.2
2013-01-06 05:00:00,1,2,-9999,0.3,0
2013-01-06 05:30:00,1,2,-9999,0.4,0.2
2013-01-06 06:00:00,1,2,-9999,0.4,0
2013-01-06 06:30:00,1,2,-9999,0.4,9
2013-01-06 07:00:00,0,2,-9999,0.4,68.6
2013-01-06 07:30:00,1,2,-9999,0.4,118
2013-01-06 08:00:00,1,2,-9999,0.4,197.4
2013-01-06 08:30:00,1,1,-2.49,0.4,253.4
2013-01-06 09:00:00,1,0,1.33,0.4,194.3
2013-01-06 09:30:00,1,2,-9999,0.4,128
2013-01-06 10:00:00,1,2,-9999,0.4,240.7
2013-01-06 10:30:00,1,1,-4.23,0.4,424.1
2013-01-06 11:00:00,1,1,4.25,0.4,244
2013-01-06 11:30:00,1,1,-7.62,0.4,216.3
2013-01-06 12:00:00,1,2,-9999,0.4,235.5
2013-01-06 12:30:00,0,2,-9999,0.4,117.8
2013-01-06 13:00:00,0,1,-0.85,0.4,120
2013-01-06 13:30:00,1,1,0.32,0.4,176.6
2013-01-06 14:00:00,0,1,0.07,0.4,65.4
2013-01-06 14:30:00,1,2,-9999,0.4,17.8
2013-01-06 15:00:00,1,0,1.05,0.4,5.3
2013-01-06 15:30:00,0,2,-9999,0.4,0
2013-01-06 16:00:00,1,1,0.82,0.4,0
2013-01-06 16:30:00,1,1,2.26,0.4,0.2
2013-01-06 17:00:00,1,1,3.35,0.4,0.1
2013-01-06 17:30:00,1,1,0.52,0.4,0.2
2013-01-06 18:00:00,0,1,0.74,0.4,0
2013-01-06 18:30:00,1,2,-9999,0.4,0.1
2013-01-06 19:00:00,1,2,-9999,0.4,0
2013-01-06 19:30:00,1,2,-9999,0.4,0
2013-01-06 20:00:00,1,2,-9999,0.4,0
2013-01-06 20:30:00,0,2,-9999,0.4,0.1
2013-01-06 21:00:00,1,2,-9999,0.4,0
2013-01-06 21:30:00,1,2,-9999,0.4,0
2013-01-06 22:00:00,0,1,-9999,0.4,0
2013-01-06 22:30:00,1,1,6.04,0.4,0
2013-01-06 23:00:00,0,2,-9999,0.4,0
2013-01-06 23:30:00,1,2,-9999,0.4,0
2013-01-07 00:00:00,1,2,-9999,0.4,0
2013-01-07 00:30:00,1,2,-9999,0.4,0.1
2013-01-07 01:00:00,1,2,-9999,0.4,0
2013-01-07 01:30:00,1,2,-9999,0.4,0
2013-01-07 02:00:00,1,2,-9999,0.4,0
2013-01-07 02:30:00,1,2,-9999,0.4,0
2013-01-07 03:00:00,1,1,-1.6,0.4,0
2013-01-07 03:30:00,1,2,-9999,0.4,0
2013-01-07 04:00:00,1,2,-9999,0.4,0
2013-01-07 04:30:00,1,2,-9999,0.4,0
2013-01-07 05:00:00,1,1,-0.46,0.4,0
2013-01-07 05:30:00,1,1,-7.46,0.4,0
2013-01-07 06:00:00,1,2,-9999,0.4,0.8
2013-01-07 06:30:00,1,2,-9999,0.4,5.3
2013-01-07 07:00:00,1,2,-9999,0.4,19.9
2013-01-07 07:30:00,1,1,0.57,0.4,50.7
2013-01-07 08:00:00,1,1,-5.66,0.4,91.3
2013-01-07 08:30:00,1,2,-9999,0.4,163.5
2013-01-07 09:00:00,1,2,-9999,0.4,242.8
2013-01-07 09:30:00,1,1,-0.45,0.4,335.1
2013-01-07 10:00:00,1,2,-9999,0.4,386.9
2013-01-07 10:30:00,0,1,0.07,0.4,289.4
2013-01-07 11:00:00,1,2,-9999,0.4,275
2013-01-07 11:30:00,1,2,-9999,0.4,305.3
2013-01-07 12:00:00,0,2,-9999,0.4,317.2
2013-01-07 12:30:00,0,2,-9999,0.4,272
2013-01-07 13:00:00,0,2,-9999,0.4,203.2
2013-01-07 13:30:00,0,2,-9999,0.4,139.2
2013-01-07 14:00:00,0,2,-9999,0.4,111.9
2013-01-07 14:30:00,0,1,-4.62,0.4,60.5
2013-01-07 15:00:00,0,1,-1.51,0.4,11
2013-01-07 15:30:00,0,1,-1.36,0.4,0.5
2013-01-07 16:00:00,1,2,-9999,0.4,0
2013-01-07 16:30:00,1,1,0.11,0.4,0
2013-01-07 17:00:00,1,0,0.15,0.5,0
2013-01-07 17:30:00,0,1,1.88,0.5,0
2013-01-07 18:00:00,1,1,0.5,0.5,0
2013-01-07 18:30:00,1,1,0.85,0.5,0
2013-01-07 19:00:00,1,2,-9999,0.5,0
2013-01-07 19:30:00,0,2,-9999,0.5,0
2013-01-07 20:00:00,1,2,-9999,0.5,0
2013-01-07 20:30:00,1,1,-4.06,0.5,0
2013-01-07 21:00:00,1,1,0.65,0.5,0
2013-01-07 21:30:00,1,2,-9999,0.5,0
2013-01-07 22:00:00,0,2,-9999,0.5,0
2013-01-07 22:30:00,0,1,1.06,0.5,0
2013-01-07 23:00:00,1,1,-0.21,0.5,0
2013-01-07 23:30:00,1,1,-0.52,0.5,0
2013-01-08 00:00:00,1,1,0.98,0.5,0
2013-01-08 00:30:00,1,1,-6.07,0.5,0
2013-01-08 01:00:00,1,1,-9999,0.5,0
2013-01-08 01:30:00,1,2,-9999,0.5,0
2013-01-08 02:00:00,1,2,-9999,0.5,0
2013-01-08 02:30:00,1,2,-9999,0.5,0
2013-01-08 03:00:00,1,2,-9999,0.5,0
2013-01-08 03:30:00,1,2,-9999,0.5,0
2013-01-08 04:00:00,1,1,0.98,0.5,0
2013-01-08 04:30:00,1,2,-9999,0.5,0
2013-01-08 05:00:00,1,2,-9999,0.5,0
2013-01-08 05:30:00,1,1,6.05,0.5,0
2013-01-08 06:00:00,1,1,0.71,0.5,0
2013-01-08 06:30:00,1,1,-9999,0.5,8.5
2013-01-08 07:00:00,1,2,-9999,0.5,37.5
2013-01-08 07:30:00,0,2,-9999,-9999,-9999
2013-01-08 08:00:00,1,2,-9999,-9999,-9999
2013-01-08 08:30:00,0,2,-9999,-9999,-9999
2013-01-08 09:00:00,1,2,-9999,-9999,-9999
2013-01-08 09:30:00,2,2,-9999,-9999,-9999
2013-01-08 10:00:00,2,2,-9999,-9999,-9999
2013-01-08 10:30:00,2,2,-9999,-9999,-9999
2013-01-08 11:00:00,2,2,-9999,-9999,-9999
2013-01-08 11:30:00,2,2,-9999,-9999,-9999
2013-01-08 12:00:00,2,2,-9999,-9999,-9999
2013-01-08 12:30:00,2,2,-9999,-9999,-9999
2013-01-08 13:00:00,2,2,-9999,-9999,-9999
2013-01-08 13:30:00,2,2,-9999,0.5,162.3
2013-01-08 14:00:00,2,2,-9999,0.5,102
2013-01-08 14:30:00,2,2,-9999,0.5,71.4
2013-01-08 15:00:00,2,2,-9999,0.5,8.5
2013-01-08 15:30:00,2,2,-9999,0.5,0.4
2013-01-08 16:00:00,1,2,-9999,0.5,0
2013-01-08 16:30:00,1,1,2.56,0.5,1.2
2013-01-08 17:00:00,0,1,-0.33,0.5,0
2013-01-08 17:30:00,1,2,-9999,0.5,0
2013-01-08 18:00:00,1,1,-3.1,0.5,0
2013-01-08 18:30:00,0,1,0.3,0.5,0
2013-01-08 19:00:00,1,2,-9999,0.5,0
2013-01-08 19:30:00,1,1,-1.09,0.5,0.5
2013-01-08 20:00:00,1,2,-9999,0.5,0.1
2013-01-08 20:30:00,2,2,-9999,0.5,0.4
2013-01-08 21:00:00,1,2,-9999,0.5,0
2013-01-08 21:30:00,0,0,1.04,0.5,0
2013-01-08 22:00:00,0,1,-3.32,0.5,0
2013-01-08 22:30:00,0,2,-9999,0.5,0
2013-01-08 23:00:00,1,2,-9999,0.5,0
2013-01-08 23:30:00,1,1,1.56,0.5,0
2013-01-09 00:00:00,0,2,-9999,0.5,0
2013-01-09 00:30:00,1,2,-9999,0.5,0
2013-01-09 01:00:00,1,1,0.96,0.5,0
2013-01-09 01:30:00,1,2,-9999,0.5,0
2013-01-09 02:00:00,1,2,-9999,0.5,0
2013-01-09 02:30:00,1,2,-9999,0.5,0
2013-01-09 03:00:00,1,2,-9999,0.5,0
2013-01-09 03:30:00,1,2,-9999,0.5,0
2013-01-09 04:00:00,1,2,-9999,0.6,0
2013-01-09 04:30:00,1,2,-9999,0.6,0
2013-01-09 05:00:00,1,2,-9999,0.6,0.7
2013-01-09 05:30:00,1,2,-9999,0.5,0.6
2013-01-09 06:00:00,1,1,0.1,0.6,0.3
2013-01-09 06:30:00,1,2,-9999,0.6,8.3
2013-01-09 07:00:00,1,2,-9999,0.6,51.4
2013-01-09 07:30:00,0,0,0.88,0.6,89.8
2013-01-09 08:00:00,0,1,-1.2,0.6,114.2
2013-01-09 08:30:00,1,2,-9999,0.6,179.6
2013-01-09 09:00:00,1,2,-9999,0.6,270.4
2013-01-09 09:30:00,1,2,-9999,0.6,333.2
2013-01-09 10:00:00,1,2,-9999,0.6,388.5
2013-01-09 10:30:00,1,1,0.33,0.6,468.4
2013-01-09 11:00:00,0,0,-0.24,0.6,424.6
2013-01-09 11:30:00,1,2,-9999,0.6,467.2
2013-01-09 12:00:00,0,1,1.11,0.6,413.4
2013-01-09 12:30:00,1,1,-1.31,0.6,409.4
2013-01-09 13:00:00,1,1,1.94,0.6,260.8
2013-01-09 13:30:00,0,1,-0.32,0.6,183.8
2013-01-09 14:00:00,1,1,0.54,0.6,131.1
2013-01-09 14:30:00,1,2,-9999,0.6,53.2
2013-01-09 15:00:00,1,2,-9999,0.6,10.9
2013-01-09 15:30:00,1,1,6.78,0.6,0
2013-01-09 16:00:00,1,1,-0.77,0.6,0
2013-01-09 16:30:00,1,2,-9999,0.6,0
2013-01-09 17:00:00,1,2,-9999,0.6,0
2013-01-09 17:30:00,1,2,-9999,0.6,0
2013-01-09 18:00:00,1,2,-9999,0.6,0
2013-01-09 18:30:00,1,1,1.53,0.6,0
2013-01-09 19:00:00,1,1,-2.68,0.6,0
2013-01-09 19:30:00,1,1,3.51,0.6,0
2013-01-09 20:00:00,1,1,5.58,0.6,0
2013-01-09 20:30:00,1,2,-9999,0.6,0
2013-01-09 21:00:00,1,1,-0.63,0.6,0
2013-01-09 21:30:00,1,2,-9999,0.6,0
2013-01-09 22:00:00,1,1,-0.71,0.6,0
2013-01-09 22:30:00,1,1,0.36,0.6,0
2013-01-09 23:00:00,1,2,-9999,0.6,0
2013-01-09 23:30:00,1,2,-9999,0.6,0
2013-01-10 00:00:00,1,2,-9999,0.6,0
2013-01-10 00:30:00,1,2,-9999,0.6,0.2
2013-01-10 01:00:00,1,1,0.68,0.6,0
2013-01-10 01:30:00,1,1,1.26,0.6,0
2013-01-10 02:00:00,0,1,1.33,0.6,0.2
2013-01-10 02:30:00,1,2,-9999,0.6,0
2013-01-10 03:00:00,0,0,0.11,0.6,0
2013-01-10 03:30:00,1,1,1.59,0.6,0
2013-01-10 04:00:00,1,1,0.2,0.6,0
2013-01-10 04:30:00,1,1,-1.43,0.6,0
2013-01-10 05:00:00,1,2,-9999,0.6,0
2013-01-10 05:30:00,0,0,-0.74,0.6,0
2013-01-10 06:00:00,1,1,0.36,0.6,0
2013-01-10 06:30:00,1,2,-9999,0.6,5.1
2013-01-10 07:00:00,1,2,-9999,0.6,27.2
2013-01-10 07:30:00,1,1,1.1,0.6,48.5
2013-01-10 08:00:00,1,2,-9999,0.6,93.1
2013-01-10 08:30:00,1,1,1.75,0.6,113.9
2013-01-10 09:00:00,0,2,-9999,0.6,144.9
2013-01-10 09:30:00,1,1,0.38,0.5,242.4
2013-01-10 10:00:00,1,2,-9999,0.5,294.1
2013-01-10 10:30:00,0,2,-9999,0.5,360
2013-01-10 11:00:00,0,2,-9999,0.5,374.4
2013-01-10 11:30:00,0,2,-9999,0.5,275.4
2013-01-10 12:00:00,0,2,-9999,0.5,465.8
2013-01-10 12:30:00,1,2,-9999,0.5,228.8
2013-01-10 13:00:00,1,2,-9999,0.5,141.6
2013-01-10 13:30:00,1,2,-9999,0.5,103
2013-01-10 14:00:00,0,1,1.39,0.5,88.7
2013-01-10 14:30:00,1,1,8.14,0.6,51
2013-01-10 15:00:00,1,2,-9999,0.6,16.9
2013-01-10 15:30:00,1,2,-9999,0.6,0
2013-01-10 16:00:00,0,2,-9999,0.6,0
2013-01-10 16:30:00,1,2,-9999,0.5,0
2013-01-10 17:00:00,1,2,-9999,0.5,0
2013-01-10 17:30:00,1,1,-1.53,0.5,0
2013-01-10 18:00:00,1,1,-6.32,0.5,0
2013-01-10 18:30:00,0,2,-9999,0.6,0
2013-01-10 19:00:00,1,2,-9999,0.6,0.1
2013-01-10 19:30:00,1,2,-9999,0.6,0
2013-01-10 20:00:00,1,1,-7.28,0.6,0
2013-01-10 20:30:00,1,2,-9999,0.6,0.1
2013-01-10 21:00:00,1,2,-9999,0.6,0
2013-01-10 21:30:00,1,2,-9999,0.5,0
2013-01-10 22:00:00,1,2,-9999,0.5,0
